R,T
0.000000,0.000000
0.975388,0.214624
1.320597,0.251892
1.557966,0.260150
1.740133,0.256366
1.887575,0.246950
2.010750,0.234904
2.115834,0.221788
2.206838,0.208449
2.286541,0.195360
2.356962,0.182777
2.419627,0.170834
2.475718,0.159590
2.526176,0.149060
2.571761,0.139232
2.613097,0.130079
2.650703,0.121568
2.685016,0.113659
2.716405,0.106312
2.745188,0.099488
2.771637,0.093148
2.795989,0.087257
2.818451,0.081779
2.839203,0.076684
2.858404,0.071942
2.876195,0.067525
2.892702,0.063410
2.908034,0.059573
2.922292,0.055992
2.935566,0.052650
2.947934,0.049528
2.959470,0.046609
2.970238,0.043879
2.980299,0.041324
2.989705,0.038932
2.998505,0.036691
3.006745,0.034591
3.014465,0.032621
3.021702,0.030773
3.028490,0.029037
3.034860,0.027408
3.040842,0.025877
3.046462,0.024438
3.051744,0.023084
3.056710,0.021811
3.061382,0.020613
3.065779,0.019485
3.069918,0.018423
3.073817,0.017423
3.077490,0.016480
3.080951,0.015591
3.084215,0.014753
3.087292,0.013962
3.090195,0.013216
3.092935,0.012512
3.095521,0.011848
3.097962,0.011221
3.100267,0.010628
3.102445,0.010068
3.104502,0.009539
3.106446,0.009039
3.108284,0.008567
3.110022,0.008120
3.111665,0.007698
3.113219,0.007298
3.114689,0.006920
3.116080,0.006562
3.117396,0.006224
3.118642,0.005904
3.119821,0.005600
3.120937,0.005313
3.121995,0.005041
3.122996,0.004784
3.123944,0.004540
3.124843,0.004309
3.125694,0.004090
3.126501,0.003882
3.127265,0.003686
3.127990,0.003499
3.128677,0.003322
3.129328,0.003155
3.129946,0.002996
3.130532,0.002845
3.131087,0.002703
3.131614,0.002567
3.132113,0.002438
3.132587,0.002317
3.133037,0.002201
3.133464,0.002091
3.133869,0.001987
3.134253,0.001888
3.134618,0.001794
3.134964,0.001705
3.135293,0.001621
3.135605,0.001540
3.135901,0.001464
3.136183,0.001392
3.136450,0.001323
3.136703,0.001258
3.136944,0.001196
