R,T
0.718307,1.570792
0.718307,1.570753
0.718307,1.570676
0.718307,1.570558
0.718307,1.570400
0.718307,1.570200
0.718307,1.569957
0.718306,1.569671
0.718306,1.569340
0.718305,1.568964
0.718305,1.568541
0.718304,1.568071
0.718302,1.567552
0.718300,1.566983
0.718298,1.566364
0.718295,1.565692
0.718292,1.564967
0.718288,1.564188
0.718283,1.563352
0.718276,1.562459
0.718269,1.561507
0.718260,1.560495
0.718250,1.559421
0.718238,1.558284
0.718225,1.557081
0.718209,1.555812
0.718190,1.554473
0.718169,1.553064
0.718145,1.551583
0.718118,1.550026
0.718087,1.548393
0.718053,1.546681
0.718013,1.544888
0.717969,1.543010
0.717920,1.541046
0.717865,1.538994
0.717803,1.536849
0.717735,1.534609
0.717658,1.532272
0.717574,1.529833
0.717480,1.527290
0.717376,1.524639
0.717262,1.521876
0.717135,1.518997
0.716996,1.515999
0.716842,1.512876
0.716673,1.509624
0.716487,1.506238
0.716284,1.502714
0.716060,1.499045
0.715815,1.495225
0.715546,1.491249
0.715252,1.487110
0.714930,1.482802
0.714578,1.478316
0.714192,1.473644
0.713771,1.468779
0.713311,1.463711
0.712808,1.458431
0.712258,1.452927
0.711657,1.447190
0.711001,1.441207
0.710284,1.434965
0.709500,1.428449
0.708643,1.421646
0.707706,1.414538
0.706682,1.407107
0.705560,1.399335
0.704333,1.391198
0.702988,1.382675
0.701513,1.373740
0.699896,1.364364
0.698120,1.354515
0.696167,1.344160
0.694019,1.333259
0.691651,1.321770
0.689039,1.309643
0.686153,1.296824
0.682958,1.283251
0.679415,1.268853
0.675477,1.253549
0.671090,1.237247
0.666189,1.219837
0.660700,1.201194
0.654529,1.181168
0.647567,1.159580
0.639679,1.136218
0.630698,1.110820
0.620417,1.083066
0.608569,1.052551
0.594814,1.018762
0.578698,0.981025
0.559610,0.938437
0.536690,0.889746
0.508687,0.833137
0.473668,0.765816
0.428385,0.683106
0.366625,0.576020
0.272943,0.422023
0.000000,0.000000
