R,T
0.000000,0.000000
1.085153,-0.621207
1.374254,-0.701600
1.560799,-0.718263
1.703229,-0.710678
1.820867,-0.691431
1.922324,-0.666026
2.012115,-0.637336
2.092876,-0.607041
2.166273,-0.576196
2.233434,-0.545489
2.295169,-0.515384
2.352092,-0.486189
2.404692,-0.458103
2.453369,-0.431253
2.498469,-0.405706
2.540290,-0.381491
2.579100,-0.358605
2.615139,-0.337026
2.648623,-0.316715
2.679753,-0.297626
2.708709,-0.279704
2.735659,-0.262890
2.760755,-0.247126
2.784138,-0.232352
2.805937,-0.218509
2.826270,-0.205539
2.845248,-0.193389
2.862970,-0.182005
2.879528,-0.171338
2.895007,-0.161340
2.909486,-0.151969
2.923035,-0.143181
2.935722,-0.134940
2.947608,-0.127207
2.958747,-0.119951
2.969193,-0.113138
2.978993,-0.106740
2.988191,-0.100730
2.996827,-0.095083
3.004940,-0.089773
3.012565,-0.084781
3.019733,-0.080084
3.026475,-0.075665
3.032818,-0.071506
3.038788,-0.067589
3.044409,-0.063901
3.049703,-0.060425
3.054691,-0.057150
3.059392,-0.054063
3.063823,-0.051152
3.068002,-0.048406
3.071944,-0.045815
3.075664,-0.043371
3.079174,-0.041063
3.082488,-0.038885
3.085617,-0.036827
3.088573,-0.034884
3.091364,-0.033048
3.094003,-0.031313
3.096496,-0.029673
3.098853,-0.028123
3.101081,-0.026657
3.103189,-0.025270
3.105182,-0.023959
3.107068,-0.022719
3.108852,-0.021545
3.110541,-0.020434
3.112139,-0.019382
3.113652,-0.018387
3.115085,-0.017444
3.116441,-0.016551
3.117726,-0.015706
3.118943,-0.014905
3.120096,-0.014146
3.121189,-0.013428
3.122224,-0.012746
3.123205,-0.012101
3.124135,-0.011489
3.125017,-0.010909
3.125852,-0.010359
3.126645,-0.009837
3.127396,-0.009342
3.128109,-0.008873
3.128785,-0.008429
3.129427,-0.008007
3.130035,-0.007606
3.130612,-0.007226
3.131160,-0.006866
3.131680,-0.006524
3.132173,-0.006199
3.132641,-0.005891
3.133085,-0.005599
3.133507,-0.005321
3.133908,-0.005057
3.134288,-0.004807
3.134649,-0.004570
3.134992,-0.004344
3.135317,-0.004130
3.135627,-0.003926
