R,T
1.256444,1.570794
1.256444,1.570779
1.256444,1.570747
1.256444,1.570699
1.256444,1.570633
1.256444,1.570551
1.256444,1.570452
1.256444,1.570334
1.256443,1.570198
1.256443,1.570044
1.256443,1.569870
1.256442,1.569677
1.256441,1.569464
1.256440,1.569230
1.256439,1.568976
1.256437,1.568700
1.256435,1.568403
1.256433,1.568082
1.256430,1.567739
1.256426,1.567372
1.256422,1.566982
1.256416,1.566566
1.256410,1.566125
1.256403,1.565658
1.256395,1.565164
1.256386,1.564642
1.256375,1.564092
1.256362,1.563514
1.256348,1.562905
1.256332,1.562266
1.256314,1.561595
1.256293,1.560891
1.256270,1.560154
1.256244,1.559383
1.256214,1.558576
1.256182,1.557732
1.256145,1.556851
1.256104,1.555930
1.256059,1.554969
1.256009,1.553966
1.255953,1.552920
1.255891,1.551830
1.255823,1.550693
1.255748,1.549508
1.255665,1.548274
1.255573,1.546988
1.255473,1.545649
1.255362,1.544254
1.255241,1.542801
1.255108,1.541288
1.254962,1.539712
1.254801,1.538072
1.254626,1.536362
1.254434,1.534582
1.254223,1.532727
1.253993,1.530794
1.253741,1.528780
1.253465,1.526680
1.253163,1.524489
1.252834,1.522204
1.252473,1.519819
1.252078,1.517329
1.251646,1.514728
1.251173,1.512009
1.250656,1.509165
1.250089,1.506189
1.249468,1.503071
1.248787,1.499804
1.248039,1.496376
1.247218,1.492775
1.246316,1.488991
1.245323,1.485007
1.244229,1.480809
1.243021,1.476379
1.241688,1.471696
1.240212,1.466738
1.238575,1.461480
1.236757,1.455891
1.234731,1.449936
1.232470,1.443578
1.229937,1.436767
1.227092,1.429451
1.223883,1.421562
1.220250,1.413024
1.216116,1.403739
1.211386,1.393592
1.205942,1.382435
1.199631,1.370083
1.192251,1.356298
1.183535,1.340765
1.173118,1.323058
1.160484,1.302589
1.144882,1.278504
1.125162,1.249521
1.099470,1.213589
1.064563,1.167169
1.014130,1.103457
0.933655,1.006973
0.777843,0.829959
0.000000,0.000000
