R,T
1.384084,1.570795
1.384084,1.570786
1.384084,1.570767
1.384084,1.570738
1.384084,1.570699
1.384084,1.570649
1.384084,1.570589
1.384084,1.570519
1.384083,1.570437
1.384083,1.570344
1.384083,1.570240
1.384083,1.570124
1.384082,1.569996
1.384081,1.569856
1.384081,1.569704
1.384080,1.569538
1.384078,1.569359
1.384077,1.569167
1.384075,1.568961
1.384073,1.568741
1.384070,1.568506
1.384067,1.568257
1.384063,1.567992
1.384059,1.567711
1.384053,1.567415
1.384048,1.567102
1.384041,1.566772
1.384033,1.566424
1.384024,1.566059
1.384014,1.565675
1.384003,1.565272
1.383990,1.564850
1.383976,1.564407
1.383960,1.563944
1.383941,1.563460
1.383921,1.562953
1.383898,1.562424
1.383873,1.561871
1.383845,1.561294
1.383814,1.560692
1.383779,1.560064
1.383741,1.559409
1.383699,1.558726
1.383652,1.558015
1.383600,1.557274
1.383544,1.556501
1.383481,1.555697
1.383413,1.554859
1.383337,1.553986
1.383255,1.553078
1.383164,1.552131
1.383064,1.551145
1.382956,1.550119
1.382836,1.549049
1.382705,1.547934
1.382562,1.546773
1.382406,1.545562
1.382235,1.544300
1.382047,1.542983
1.381843,1.541609
1.381618,1.540175
1.381373,1.538678
1.381105,1.537113
1.380811,1.535477
1.380489,1.533766
1.380136,1.531974
1.379750,1.530098
1.379326,1.528130
1.378861,1.526065
1.378350,1.523895
1.377788,1.521614
1.377169,1.519212
1.376487,1.516679
1.375734,1.514004
1.374902,1.511176
1.373980,1.508180
1.372957,1.505000
1.371820,1.501618
1.370553,1.498011
1.369136,1.494156
1.367548,1.490022
1.365761,1.485576
1.363744,1.480776
1.361455,1.475572
1.358847,1.469903
1.355858,1.463695
1.352408,1.456852
1.348397,1.449255
1.343691,1.440748
1.338110,1.431123
1.331408,1.420098
1.323230,1.407275
1.313053,1.392071
1.300062,1.373592
1.282908,1.350374
1.259155,1.319807
1.223838,1.276633
1.164675,1.208002
1.037852,1.068645
0.000000,0.000000
