R,T
0.000000,0.000000
1.357346,-1.192824
1.489208,-1.246369
1.566691,-1.256418
1.625448,-1.251884
1.675306,-1.240074
1.720290,-1.223775
1.762413,-1.204308
1.802810,-1.182394
1.842167,-1.158479
1.880917,-1.132866
1.919335,-1.105784
1.957591,-1.077423
1.995782,-1.047949
2.033949,-1.017521
2.072094,-0.986293
2.110184,-0.954418
2.148164,-0.922051
2.185959,-0.889346
2.223480,-0.856456
2.260633,-0.823533
2.297316,-0.790722
2.333429,-0.758164
2.368873,-0.725991
2.403557,-0.694322
2.437397,-0.663268
2.470319,-0.632924
2.502258,-0.603373
2.533164,-0.574684
2.562996,-0.546912
2.591725,-0.520100
2.619332,-0.494277
2.645810,-0.469464
2.671160,-0.445667
2.695390,-0.422888
2.718516,-0.401119
2.740559,-0.380345
2.761546,-0.360546
2.781507,-0.341699
2.800474,-0.323775
2.818484,-0.306745
2.835572,-0.290576
2.851776,-0.275234
2.867134,-0.260687
2.881685,-0.246899
2.895465,-0.233836
2.908511,-0.221464
2.920860,-0.209750
2.932547,-0.198661
2.943605,-0.188166
2.954067,-0.178235
2.963964,-0.168838
2.973327,-0.159947
2.982183,-0.151536
2.990561,-0.143578
2.998487,-0.136049
3.005984,-0.128925
3.013077,-0.122186
3.019787,-0.115809
3.026136,-0.109775
3.032144,-0.104065
3.037829,-0.098662
3.043210,-0.093547
3.048303,-0.088706
3.053123,-0.084124
3.057687,-0.079785
3.062008,-0.075677
3.066099,-0.071788
3.069973,-0.068104
3.073643,-0.064615
3.077119,-0.061310
3.080411,-0.058180
3.083531,-0.055214
3.086486,-0.052403
3.089287,-0.049740
3.091942,-0.047216
3.094458,-0.044824
3.096843,-0.042556
3.099104,-0.040406
3.101247,-0.038367
3.103280,-0.036434
3.105207,-0.034601
3.107036,-0.032863
3.108770,-0.031214
3.110414,-0.029650
3.111975,-0.028166
3.113455,-0.026758
3.114860,-0.025423
3.116193,-0.024155
3.117458,-0.022952
3.118658,-0.021810
3.119798,-0.020727
3.120879,-0.019698
3.121906,-0.018721
3.122881,-0.017794
3.123807,-0.016914
3.124686,-0.016078
3.125520,-0.015285
3.126313,-0.014531
3.127066,-0.013815
