R,T
0.000000,0.000000
1.233356,0.956033
1.439200,1.031846
1.564151,1.046575
1.659120,1.039910
1.738982,1.022699
1.809936,0.999306
1.875069,0.971913
1.936082,0.941792
1.993967,0.909779
2.049317,0.876480
2.102491,0.842362
2.153696,0.807809
2.203050,0.773138
2.250610,0.738625
2.296401,0.704500
2.340429,0.670963
2.382690,0.638178
2.423184,0.606280
2.461912,0.575378
2.498884,0.545553
2.534116,0.516866
2.567636,0.489356
2.599479,0.463043
2.629687,0.437935
2.658309,0.414024
2.685398,0.391295
2.711013,0.369720
2.735214,0.349269
2.758064,0.329904
2.779626,0.311585
2.799963,0.294269
2.819137,0.277911
2.837210,0.262467
2.854240,0.247892
2.870287,0.234141
2.885404,0.221171
2.899646,0.208941
2.913063,0.197408
2.925703,0.186534
2.937612,0.176283
2.948833,0.166617
2.959407,0.157504
2.969372,0.148911
2.978766,0.140807
2.987623,0.133164
2.995973,0.125955
3.003849,0.119155
3.011277,0.112738
3.018286,0.106683
3.024899,0.100968
3.031141,0.095573
3.037032,0.090480
3.042595,0.085670
3.047849,0.081127
3.052811,0.076836
3.057498,0.072782
3.061928,0.068950
3.066113,0.065329
3.070070,0.061906
3.073811,0.058670
3.077348,0.055609
3.080693,0.052715
3.083857,0.049977
3.086850,0.047387
3.089682,0.044935
3.092363,0.042616
3.094900,0.040420
3.097301,0.038341
3.099575,0.036373
3.101728,0.034510
3.103767,0.032745
3.105698,0.031073
3.107528,0.029489
3.109261,0.027989
3.110904,0.026567
3.112460,0.025220
3.113936,0.023943
3.115334,0.022732
3.116660,0.021585
3.117917,0.020497
3.119109,0.019465
3.120239,0.018486
3.121311,0.017558
3.122328,0.016678
3.123292,0.015843
3.124207,0.015051
3.125075,0.014299
3.125899,0.013586
3.126681,0.012910
3.127423,0.012267
3.128127,0.011658
3.128795,0.011079
3.129430,0.010530
3.130032,0.010008
3.130604,0.009513
3.131147,0.009043
3.131663,0.008596
3.132153,0.008172
3.132618,0.007770
