R,T
0.260172,1.570790
0.260172,1.570741
0.260172,1.570642
0.260172,1.570491
0.260172,1.570287
0.260172,1.570030
0.260172,1.569719
0.260172,1.569352
0.260172,1.568927
0.260171,1.568444
0.260171,1.567902
0.260170,1.567298
0.260170,1.566632
0.260169,1.565903
0.260168,1.565107
0.260166,1.564246
0.260165,1.563315
0.260162,1.562315
0.260160,1.561242
0.260157,1.560096
0.260153,1.558875
0.260149,1.557576
0.260144,1.556197
0.260138,1.554738
0.260131,1.553194
0.260123,1.551565
0.260114,1.549847
0.260103,1.548039
0.260091,1.546138
0.260078,1.544141
0.260062,1.542046
0.260045,1.539849
0.260025,1.537548
0.260003,1.535140
0.259978,1.532621
0.259950,1.529988
0.259920,1.527237
0.259885,1.524365
0.259847,1.521367
0.259805,1.518241
0.259758,1.514981
0.259706,1.511582
0.259648,1.508042
0.259585,1.504353
0.259515,1.500511
0.259438,1.496511
0.259353,1.492347
0.259261,1.488013
0.259159,1.483502
0.259047,1.478808
0.258924,1.473923
0.258790,1.468840
0.258643,1.463550
0.258482,1.458046
0.258306,1.452319
0.258114,1.446358
0.257904,1.440153
0.257675,1.433694
0.257424,1.426969
0.257151,1.419966
0.256852,1.412671
0.256526,1.405070
0.256171,1.397148
0.255782,1.388889
0.255358,1.380274
0.254895,1.371286
0.254389,1.361903
0.253837,1.352104
0.253233,1.341864
0.252572,1.331156
0.251850,1.319954
0.251059,1.308225
0.250193,1.295935
0.249243,1.283047
0.248200,1.269519
0.247056,1.255306
0.245797,1.240358
0.244412,1.224618
0.242885,1.208022
0.241200,1.190500
0.239336,1.171972
0.237272,1.152347
0.234980,1.131521
0.232431,1.109375
0.229588,1.085770
0.226409,1.060545
0.222840,1.033508
0.218822,1.004432
0.214276,0.973041
0.209110,0.938998
0.203204,0.901878
0.196405,0.861144
0.188511,0.816084
0.179248,0.765736
0.168227,0.708731
0.154862,0.642995
0.138195,0.565098
0.116416,0.468475
0.085049,0.336529
0.000000,0.000000
