X,T
-3.141593,0.000000
-2.863234,-0.131307
-1.619579,-1.298838
-0.480515,-2.390600
-0.271591,-2.566667
-0.188409,-2.625211
-0.141529,-2.652528
-0.110204,-2.667603
-0.087014,-2.676779
-0.068601,-2.682711
-0.053194,-2.686678
-0.039749,-2.689359
-0.027594,-2.691132
-0.016256,-2.692216
-0.005370,-2.692731
0.005370,-2.692731
0.016256,-2.692216
0.027594,-2.691132
0.039749,-2.689359
0.053194,-2.686678
0.068601,-2.682711
0.087014,-2.676779
0.110204,-2.667603
0.141529,-2.652528
0.188409,-2.625211
0.271591,-2.566667
0.480515,-2.390600
1.619579,-1.298838
2.863234,-0.131307
3.141593,0.000000
