X,T
-3.141593,0.000000
-2.913535,0.051080
-2.606481,0.235244
-2.103123,0.647066
-1.423813,1.254334
-0.916480,1.702381
-0.633575,1.934638
-0.466054,2.057469
-0.354447,2.128494
-0.272513,2.172596
-0.207725,2.201240
-0.153422,2.220190
-0.105682,2.232545
-0.061960,2.240026
-0.020422,2.243562
0.020422,2.243562
0.061960,2.240026
0.105682,2.232545
0.153422,2.220190
0.207725,2.201240
0.272513,2.172596
0.354447,2.128494
0.466054,2.057469
0.633575,1.934638
0.916480,1.702381
1.423813,1.254334
2.103123,0.647066
2.606481,0.235244
2.913535,0.051080
3.141593,0.000000
