X,T
-3.141593,0.000000
-2.923321,0.018782
-2.695592,0.075792
-2.450257,0.172163
-2.183060,0.306717
-1.897497,0.471748
-1.606706,0.650812
-1.328653,0.823264
-1.076981,0.973206
-0.856273,1.094059
-0.664040,1.186440
-0.494702,1.254054
-0.342202,1.300965
-0.201018,1.330440
-0.066305,1.344646
0.066305,1.344646
0.201018,1.330440
0.342202,1.300965
0.494702,1.254054
0.664040,1.186440
0.856273,1.094059
1.076981,0.973206
1.328653,0.823264
1.606706,0.650812
1.897497,0.471748
2.183060,0.306717
2.450257,0.172163
2.695592,0.075792
2.923321,0.018782
3.141593,0.000000
