X,T
-3.141593,0.000000
-2.924931,0.000000
-2.708270,0.000000
-2.491608,0.000000
-2.274946,0.000000
-2.058285,0.000000
-1.841623,0.000000
-1.624962,0.000000
-1.408300,0.000000
-1.191639,0.000000
-0.974977,0.000000
-0.758315,0.000000
-0.541654,0.000000
-0.324992,0.000000
-0.108331,0.000000
0.108331,0.000000
0.324992,0.000000
0.541654,0.000000
0.758315,0.000000
0.974977,0.000000
1.191639,0.000000
1.408300,0.000000
1.624962,0.000000
1.841623,0.000000
2.058285,0.000000
2.274946,0.000000
2.491608,0.000000
2.708270,0.000000
2.924931,0.000000
3.141593,0.000000
