X,T
-3.141593,0.000000
-2.924800,0.005339
-2.707256,0.021143
-2.488380,0.046755
-2.267904,0.081050
-2.045972,0.122421
-1.823147,0.168812
-1.600333,0.217828
-1.378591,0.266919
-1.158929,0.313598
-0.942082,0.355642
-0.728384,0.391229
-0.517715,0.418985
-0.309538,0.437965
-0.102991,0.447590
0.102991,0.447590
0.309538,0.437965
0.517715,0.418985
0.728384,0.391229
0.942082,0.355642
1.158929,0.313598
1.378591,0.266919
1.600333,0.217828
1.823147,0.168812
2.045972,0.122421
2.267904,0.081050
2.488380,0.046755
2.707256,0.021143
2.924800,0.005339
3.141593,0.000000
