X,T
-3.141593,0.000000
-2.924347,0.011289
-2.703725,0.044961
-2.477025,0.100237
-2.242947,0.175233
-2.002263,0.266336
-1.758076,0.367927
-1.515232,0.472897
-1.278920,0.573975
-1.053135,0.665191
-0.839788,0.742681
-0.638714,0.804609
-0.448210,0.850546
-0.265662,0.880771
-0.088006,0.895735
0.088006,0.895735
0.265662,0.880771
0.448210,0.850546
0.638714,0.804609
0.839788,0.742681
1.053135,0.665191
1.278920,0.573975
1.515232,0.472897
1.758076,0.367927
2.002263,0.266336
2.242947,0.175233
2.477025,0.100237
2.703725,0.044961
2.924347,0.011289
3.141593,0.000000
