X,T
0.000000,-3.141593
0.131307,-2.863234
1.298838,-1.619579
2.390600,-0.480515
2.566667,-0.271591
2.625211,-0.188409
2.652528,-0.141529
2.667603,-0.110204
2.676779,-0.087014
2.682711,-0.068601
2.686678,-0.053194
2.689359,-0.039749
2.691132,-0.027594
2.692216,-0.016256
2.692731,-0.005370
2.692731,0.005370
2.692216,0.016256
2.691132,0.027594
2.689359,0.039749
2.686678,0.053194
2.682711,0.068601
2.676779,0.087014
2.667603,0.110204
2.652528,0.141529
2.625211,0.188409
2.566667,0.271591
2.390600,0.480515
1.298838,1.619579
0.131307,2.863234
0.000000,3.141593
