X,T
0.000000,-3.141593
-0.018782,-2.923321
-0.075792,-2.695592
-0.172163,-2.450257
-0.306717,-2.183060
-0.471748,-1.897497
-0.650812,-1.606706
-0.823264,-1.328653
-0.973206,-1.076981
-1.094059,-0.856273
-1.186440,-0.664040
-1.254054,-0.494702
-1.300965,-0.342202
-1.330440,-0.201018
-1.344646,-0.066305
-1.344646,0.066305
-1.330440,0.201018
-1.300965,0.342202
-1.254054,0.494702
-1.186440,0.664040
-1.094059,0.856273
-0.973206,1.076981
-0.823264,1.328653
-0.650812,1.606706
-0.471748,1.897497
-0.306717,2.183060
-0.172163,2.450257
-0.075792,2.695592
-0.018782,2.923321
0.000000,3.141593
