X,T
0.000000,-3.141593
-0.051080,-2.913535
-0.235244,-2.606481
-0.647066,-2.103123
-1.254334,-1.423813
-1.702381,-0.916480
-1.934638,-0.633575
-2.057469,-0.466054
-2.128494,-0.354447
-2.172596,-0.272513
-2.201240,-0.207725
-2.220190,-0.153422
-2.232545,-0.105682
-2.240026,-0.061960
-2.243562,-0.020422
-2.243562,0.020422
-2.240026,0.061960
-2.232545,0.105682
-2.220190,0.153422
-2.201240,0.207725
-2.172596,0.272513
-2.128494,0.354447
-2.057469,0.466054
-1.934638,0.633575
-1.702381,0.916480
-1.254334,1.423813
-0.647066,2.103123
-0.235244,2.606481
-0.051080,2.913535
0.000000,3.141593
