X,T
0.000000,-3.141593
0.011289,-2.924347
0.044961,-2.703725
0.100237,-2.477025
0.175233,-2.242947
0.266336,-2.002263
0.367927,-1.758076
0.472897,-1.515232
0.573975,-1.278920
0.665191,-1.053135
0.742681,-0.839788
0.804609,-0.638714
0.850546,-0.448210
0.880771,-0.265662
0.895735,-0.088006
0.895735,0.088006
0.880771,0.265662
0.850546,0.448210
0.804609,0.638714
0.742681,0.839788
0.665191,1.053135
0.573975,1.278920
0.472897,1.515232
0.367927,1.758076
0.266336,2.002263
0.175233,2.242947
0.100237,2.477025
0.044961,2.703725
0.011289,2.924347
0.000000,3.141593
