X,T
0.000000,-3.141593
-0.005339,-2.924800
-0.021143,-2.707256
-0.046755,-2.488380
-0.081050,-2.267904
-0.122421,-2.045972
-0.168812,-1.823147
-0.217828,-1.600333
-0.266919,-1.378591
-0.313598,-1.158929
-0.355642,-0.942082
-0.391229,-0.728384
-0.418985,-0.517715
-0.437965,-0.309538
-0.447590,-0.102991
-0.447590,0.102991
-0.437965,0.309538
-0.418985,0.517715
-0.391229,0.728384
-0.355642,0.942082
-0.313598,1.158929
-0.266919,1.378591
-0.217828,1.600333
-0.168812,1.823147
-0.122421,2.045972
-0.081050,2.267904
-0.046755,2.488380
-0.021143,2.707256
-0.005339,2.924800
0.000000,3.141593
