R,T
1.547055,-1.543497
1.544532,-1.540597
1.541743,-1.537389
1.538657,-1.533841
1.535245,-1.529916
1.531471,-1.525576
1.527297,-1.520776
1.522682,-1.515468
1.517579,-1.509598
1.511938,-1.503109
1.505703,-1.495936
1.498813,-1.488007
1.491200,-1.479246
1.482792,-1.469567
1.473508,-1.458877
1.463261,-1.447076
1.451958,-1.434053
1.439499,-1.419690
1.425774,-1.403861
1.410671,-1.386428
1.394069,-1.367250
1.375846,-1.346177
1.355875,-1.323054
1.334036,-1.297726
1.310209,-1.270041
1.284289,-1.239853
1.256190,-1.207033
1.225852,-1.171472
1.193253,-1.133096
1.158418,-1.091873
1.121434,-1.047822
1.082457,-1.001028
1.041719,-0.951647
0.999536,-0.899906
0.956307,-0.846107
0.912500,-0.790615
0.868645,-0.733843
0.825309,-0.676229
0.783074,-0.618217
0.742509,-0.560223
0.704153,-0.502616
0.668490,-0.445700
0.635938,-0.389696
0.606849,-0.334741
0.581502,-0.280885
0.560114,-0.228102
0.542845,-0.176292
0.529808,-0.125300
0.521079,-0.074925
0.516704,-0.024932
0.516704,0.024932
0.521079,0.074925
0.529808,0.125300
0.542845,0.176292
0.560114,0.228102
0.581502,0.280885
0.606849,0.334741
0.635938,0.389696
0.668490,0.445700
0.704153,0.502616
0.742509,0.560223
0.783074,0.618217
0.825309,0.676229
0.868645,0.733843
0.912500,0.790615
0.956307,0.846107
0.999536,0.899906
1.041719,0.951647
1.082457,1.001028
1.121434,1.047822
1.158418,1.091873
1.193253,1.133096
1.225852,1.171472
1.256190,1.207033
1.284289,1.239853
1.310209,1.270041
1.334036,1.297726
1.355875,1.323054
1.375846,1.346177
1.394069,1.367250
1.410671,1.386428
1.425774,1.403861
1.439499,1.419690
1.451958,1.434053
1.463261,1.447076
1.473508,1.458877
1.482792,1.469567
1.491200,1.479246
1.498813,1.488007
1.505703,1.495936
1.511938,1.503109
1.517579,1.509598
1.522682,1.515468
1.527297,1.520776
1.531471,1.525576
1.535245,1.529916
1.538657,1.533841
1.541743,1.537389
1.544532,1.540597
1.547055,1.543497
