R,T
1.390318,-1.389821
1.371618,-1.371068
1.351094,-1.350486
1.328607,-1.327934
1.304020,-1.303276
1.277203,-1.276379
1.248036,-1.247125
1.216424,-1.215416
1.182299,-1.181184
1.145633,-1.144399
1.106450,-1.105085
1.064835,-1.063325
1.020944,-1.019274
0.975011,-0.973163
0.927345,-0.925301
0.878332,-0.876071
0.828419,-0.825917
0.778096,-0.775328
0.727875,-0.724814
0.678265,-0.674878
0.629743,-0.625996
0.582737,-0.578592
0.537610,-0.533024
0.494646,-0.489573
0.454053,-0.448441
0.415965,-0.409756
0.380446,-0.373577
0.347503,-0.339905
0.317099,-0.308693
0.289157,-0.279857
0.263577,-0.253289
0.240240,-0.228858
0.219018,-0.206426
0.199778,-0.185848
0.182387,-0.166977
0.166716,-0.149668
0.152641,-0.133781
0.140046,-0.119182
0.128822,-0.105740
0.118869,-0.093334
0.110098,-0.081849
0.102427,-0.071176
0.095784,-0.061212
0.090105,-0.051860
0.085337,-0.043028
0.081433,-0.034629
0.078355,-0.026578
0.076072,-0.018795
0.074563,-0.011202
0.073812,-0.003721
0.073812,0.003721
0.074563,0.011202
0.076072,0.018795
0.078355,0.026578
0.081433,0.034629
0.085337,0.043028
0.090105,0.051860
0.095784,0.061212
0.102427,0.071176
0.110098,0.081849
0.118869,0.093334
0.128822,0.105740
0.140046,0.119182
0.152641,0.133781
0.166716,0.149668
0.182387,0.166977
0.199778,0.185848
0.219018,0.206426
0.240240,0.228858
0.263577,0.253289
0.289157,0.279857
0.317099,0.308693
0.347503,0.339905
0.380446,0.373577
0.415965,0.409756
0.454053,0.448441
0.494646,0.489573
0.537610,0.533024
0.582737,0.578592
0.629743,0.625996
0.678265,0.674878
0.727875,0.724814
0.778096,0.775328
0.828419,0.825917
0.878332,0.876071
0.927345,0.925301
0.975011,0.973163
1.020944,1.019274
1.064835,1.063325
1.106450,1.105085
1.145633,1.144399
1.182299,1.181184
1.216424,1.215416
1.248036,1.247125
1.277203,1.276379
1.304020,1.303276
1.328607,1.327934
1.351094,1.350486
1.371618,1.371068
1.390318,1.389821
