R,T
-1.552374,1.558235
-1.550416,1.556900
-1.548251,1.555423
-1.545855,1.553790
-1.543205,1.551983
-1.540273,1.549985
-1.537030,1.547774
-1.533443,1.545329
-1.529476,1.542625
-1.525087,1.539634
-1.520234,1.536326
-1.514866,1.532669
-1.508930,1.528625
-1.502366,1.524154
-1.495109,1.519212
-1.487085,1.513750
-1.478217,1.507716
-1.468416,1.501050
-1.457587,1.493689
-1.445625,1.485563
-1.432418,1.476599
-1.417840,1.466716
-1.401758,1.455826
-1.384028,1.443839
-1.364495,1.430659
-1.342995,1.416186
-1.319357,1.400319
-1.293401,1.382958
-1.264945,1.364006
-1.233807,1.343377
-1.199810,1.320999
-1.162789,1.296822
-1.122598,1.270827
-1.079121,1.243038
-1.032283,1.213531
-0.982056,1.182446
-0.928474,1.149998
-0.871637,1.116483
-0.811716,1.082284
-0.748949,1.047870
-0.683637,1.013782
-0.616123,0.980623
-0.546778,0.949031
-0.475975,0.919656
-0.404065,0.893132
-0.331363,0.870044
-0.258127,0.850913
-0.184556,0.836173
-0.110796,0.826157
-0.036941,0.821092
0.036941,0.821092
0.110796,0.826157
0.184556,0.836173
0.258127,0.850913
0.331363,0.870044
0.404065,0.893132
0.475975,0.919656
0.546778,0.949031
0.616123,0.980623
0.683637,1.013782
0.748949,1.047870
0.811716,1.082284
0.871637,1.116483
0.928474,1.149998
0.982056,1.182446
1.032283,1.213531
1.079121,1.243038
1.122598,1.270827
1.162789,1.296822
1.199810,1.320999
1.233807,1.343377
1.264945,1.364006
1.293401,1.382958
1.319357,1.400319
1.342995,1.416186
1.364495,1.430659
1.384028,1.443839
1.401758,1.455826
1.417840,1.466716
1.432418,1.476599
1.445625,1.485563
1.457587,1.493689
1.468416,1.501050
1.478217,1.507716
1.487085,1.513750
1.495109,1.519212
1.502366,1.524154
1.508930,1.528625
1.514866,1.532669
1.520234,1.536326
1.525087,1.539634
1.529476,1.542625
1.533443,1.545329
1.537030,1.547774
1.540273,1.549985
1.543205,1.551983
1.545855,1.553790
1.548251,1.555423
1.550416,1.556900
1.552374,1.558235
