R,T
-1.555431,1.563415
-1.553798,1.562630
-1.551992,1.561762
-1.549993,1.560802
-1.547783,1.559740
-1.545337,1.558566
-1.542632,1.557266
-1.539639,1.555829
-1.536328,1.554239
-1.532666,1.552480
-1.528615,1.550535
-1.524135,1.548384
-1.519179,1.546005
-1.513697,1.543375
-1.507635,1.540466
-1.500930,1.537251
-1.493516,1.533696
-1.485318,1.529767
-1.476255,1.525426
-1.466235,1.520631
-1.455162,1.515336
-1.442925,1.509490
-1.429406,1.503041
-1.414477,1.495929
-1.397994,1.488093
-1.379806,1.479466
-1.359747,1.469980
-1.337639,1.459561
-1.313294,1.448136
-1.286510,1.435634
-1.257078,1.421984
-1.224783,1.407124
-1.189406,1.391003
-1.150730,1.373586
-1.108548,1.354863
-1.062669,1.334858
-1.012931,1.313636
-0.959207,1.291316
-0.901422,1.268081
-0.839560,1.244185
-0.773677,1.219960
-0.703906,1.195819
-0.630458,1.172247
-0.553620,1.149792
-0.473748,1.129039
-0.391251,1.110585
-0.306579,1.095006
-0.220203,1.082817
-0.132609,1.074440
-0.044284,1.070174
0.044284,1.070174
0.132609,1.074440
0.220203,1.082817
0.306579,1.095006
0.391251,1.110585
0.473748,1.129039
0.553620,1.149792
0.630458,1.172247
0.703906,1.195819
0.773677,1.219960
0.839560,1.244185
0.901422,1.268081
0.959207,1.291316
1.012931,1.313636
1.062669,1.334858
1.108548,1.354863
1.150730,1.373586
1.189406,1.391003
1.224783,1.407124
1.257078,1.421984
1.286510,1.435634
1.313294,1.448136
1.337639,1.459561
1.359747,1.469980
1.379806,1.479466
1.397994,1.488093
1.414477,1.495929
1.429406,1.503041
1.442925,1.509490
1.455162,1.515336
1.466235,1.520631
1.476255,1.525426
1.485318,1.529767
1.493516,1.533696
1.500930,1.537251
1.507635,1.540466
1.513697,1.543375
1.519179,1.546005
1.524135,1.548384
1.528615,1.550535
1.532666,1.552480
1.536328,1.554239
1.539639,1.555829
1.542632,1.557266
1.545337,1.558566
1.547783,1.559740
1.549993,1.560802
1.551992,1.561762
1.553798,1.562630
1.555431,1.563415
