R,T
-1.557321,1.570796
-1.555888,1.570796
-1.554304,1.570796
-1.552551,1.570796
-1.550612,1.570796
-1.548467,1.570796
-1.546094,1.570796
-1.543468,1.570796
-1.540564,1.570796
-1.537351,1.570796
-1.533797,1.570796
-1.529866,1.570796
-1.525517,1.570796
-1.520706,1.570796
-1.515385,1.570796
-1.509499,1.570796
-1.502988,1.570796
-1.495788,1.570796
-1.487824,1.570796
-1.479017,1.570796
-1.469277,1.570796
-1.458509,1.570796
-1.446603,1.570796
-1.433442,1.570795
-1.418897,1.570795
-1.402824,1.570795
-1.385068,1.570795
-1.365459,1.570795
-1.343812,1.570795
-1.319927,1.570795
-1.293587,1.570795
-1.264560,1.570794
-1.232599,1.570794
-1.197443,1.570794
-1.158822,1.570794
-1.116457,1.570794
-1.070069,1.570793
-1.019386,1.570793
-0.964152,1.570793
-0.904143,1.570792
-0.839182,1.570792
-0.769155,1.570792
-0.694039,1.570792
-0.613917,1.570791
-0.529002,1.570791
-0.439656,1.570791
-0.346393,1.570790
-0.249883,1.570790
-0.150939,1.570790
-0.050484,1.570790
0.050484,1.570790
0.150939,1.570790
0.249883,1.570790
0.346393,1.570790
0.439656,1.570791
0.529002,1.570791
0.613917,1.570791
0.694039,1.570792
0.769155,1.570792
0.839182,1.570792
0.904143,1.570792
0.964152,1.570793
1.019386,1.570793
1.070069,1.570793
1.116457,1.570794
1.158822,1.570794
1.197443,1.570794
1.232599,1.570794
1.264560,1.570794
1.293587,1.570795
1.319927,1.570795
1.343812,1.570795
1.365459,1.570795
1.385068,1.570795
1.402824,1.570795
1.418897,1.570795
1.433442,1.570795
1.446603,1.570796
1.458509,1.570796
1.469277,1.570796
1.479017,1.570796
1.487824,1.570796
1.495788,1.570796
1.502988,1.570796
1.509499,1.570796
1.515385,1.570796
1.520706,1.570796
1.525517,1.570796
1.529866,1.570796
1.533797,1.570796
1.537351,1.570796
1.540564,1.570796
1.543468,1.570796
1.546094,1.570796
1.548467,1.570796
1.550612,1.570796
1.552551,1.570796
1.554304,1.570796
1.555888,1.570796
1.557321,1.570796
