R,T
1.594351,-1.543660
1.596853,-1.540777
1.599621,-1.537588
1.602682,-1.534061
1.606068,-1.530160
1.609812,-1.525846
1.613953,-1.521074
1.618531,-1.515797
1.623594,-1.509963
1.629191,-1.503512
1.635377,-1.496381
1.642213,-1.488499
1.649767,-1.479789
1.658110,-1.470167
1.667322,-1.459540
1.677489,-1.447807
1.688705,-1.434859
1.701069,-1.420578
1.714689,-1.404838
1.729679,-1.387504
1.746157,-1.368432
1.764246,-1.347472
1.784071,-1.324473
1.805756,-1.299276
1.829417,-1.271730
1.855162,-1.241688
1.883077,-1.209018
1.913226,-1.173612
1.945632,-1.135389
1.980272,-1.094316
2.017065,-1.050407
2.055859,-1.003743
2.096427,-0.954472
2.138457,-0.902818
2.181557,-0.849076
2.225260,-0.793607
2.269042,-0.736820
2.312334,-0.679152
2.354556,-0.621046
2.395133,-0.562920
2.433526,-0.505146
2.469244,-0.448032
2.501863,-0.391803
2.531025,-0.336602
2.556447,-0.282483
2.577905,-0.229424
2.595235,-0.177328
2.608321,-0.126045
2.617085,-0.075373
2.621477,-0.025081
2.621477,0.025081
2.617085,0.075373
2.608321,0.126045
2.595235,0.177328
2.577905,0.229424
2.556447,0.282483
2.531025,0.336602
2.501863,0.391803
2.469244,0.448032
2.433526,0.505146
2.395133,0.562920
2.354556,0.621046
2.312334,0.679152
2.269042,0.736820
2.225260,0.793607
2.181557,0.849076
2.138457,0.902818
2.096427,0.954472
2.055859,1.003743
2.017065,1.050407
1.980272,1.094316
1.945632,1.135389
1.913226,1.173612
1.883077,1.209018
1.855162,1.241688
1.829417,1.271730
1.805756,1.299276
1.784071,1.324473
1.764246,1.347472
1.746157,1.368432
1.729679,1.387504
1.714689,1.404838
1.701069,1.420578
1.688705,1.434859
1.677489,1.447807
1.667322,1.459540
1.658110,1.470167
1.649767,1.479789
1.642213,1.488499
1.635377,1.496381
1.629191,1.503512
1.623594,1.509963
1.618531,1.515797
1.613953,1.521074
1.609812,1.525846
1.606068,1.530160
1.602682,1.534061
1.599621,1.537588
1.596853,1.540777
1.594351,1.543660
