R,T
-1.512137,1.513704
-1.505918,1.507652
-1.499044,1.500962
-1.491447,1.493569
-1.483053,1.485400
-1.473780,1.476377
-1.463541,1.466414
-1.452238,1.455416
-1.439768,1.443284
-1.426019,1.429909
-1.410870,1.415173
-1.394193,1.398954
-1.375855,1.381121
-1.355715,1.361541
-1.333631,1.340076
-1.309461,1.316592
-1.283068,1.290956
-1.254323,1.263050
-1.223116,1.232771
-1.189363,1.200044
-1.153014,1.164830
-1.114066,1.127138
-1.072574,1.087035
-1.028658,1.044656
-0.982514,1.000212
-0.934414,0.953993
-0.884706,0.906366
-0.833804,0.857766
-0.782172,0.808681
-0.730304,0.759629
-0.678694,0.711136
-0.627819,0.663708
-0.578107,0.617810
-0.529924,0.573846
-0.483562,0.532151
-0.439231,0.492981
-0.397061,0.456522
-0.357111,0.422887
-0.319371,0.392133
-0.283782,0.364269
-0.250236,0.339267
-0.218593,0.317072
-0.188689,0.297616
-0.160340,0.280818
-0.133352,0.266599
-0.107521,0.254883
-0.082641,0.245599
-0.058500,0.238689
-0.034889,0.234109
-0.011594,0.231827
0.011594,0.231827
0.034889,0.234109
0.058500,0.238689
0.082641,0.245599
0.107521,0.254883
0.133352,0.266599
0.160340,0.280818
0.188689,0.297616
0.218593,0.317072
0.250236,0.339267
0.283782,0.364269
0.319371,0.392133
0.357111,0.422887
0.397061,0.456522
0.439231,0.492981
0.483562,0.532151
0.529924,0.573846
0.578107,0.617810
0.627819,0.663708
0.678694,0.711136
0.730304,0.759629
0.782172,0.808681
0.833804,0.857766
0.884706,0.906366
0.934414,0.953993
0.982514,1.000212
1.028658,1.044656
1.072574,1.087035
1.114066,1.127138
1.153014,1.164830
1.189363,1.200044
1.223116,1.232771
1.254323,1.263050
1.283068,1.290956
1.309461,1.316592
1.333631,1.340076
1.355715,1.361541
1.375855,1.381121
1.394193,1.398954
1.410870,1.415173
1.426019,1.429909
1.439768,1.443284
1.452238,1.455416
1.463541,1.466414
1.473780,1.476377
1.483053,1.485400
1.491447,1.493569
1.499044,1.500962
1.505918,1.507652
1.512137,1.513704
