R,T
1.631287,-1.508825
1.637697,-1.502257
1.644782,-1.494998
1.652611,-1.486976
1.661260,-1.478114
1.670812,-1.468326
1.681358,-1.457520
1.692994,-1.445595
1.705826,-1.432443
1.719969,-1.417948
1.735542,-1.401984
1.752673,-1.384421
1.771495,-1.365121
1.792143,-1.343943
1.814756,-1.320745
1.839467,-1.295387
1.866401,-1.267736
1.895671,-1.237674
1.927364,-1.205104
1.961538,-1.169961
1.998206,-1.132220
2.037330,-1.091909
2.078805,-1.049121
2.122457,-1.004016
2.168031,-0.956836
2.215193,-0.907896
2.263539,-0.857583
2.312603,-0.806344
2.361878,-0.754662
2.410841,-0.703037
2.458974,-0.651958
2.505795,-0.601878
2.550873,-0.553197
2.593843,-0.506240
2.634416,-0.461256
2.672379,-0.418413
2.707592,-0.377804
2.739975,-0.339451
2.769505,-0.303319
2.796199,-0.269322
2.820104,-0.237341
2.841290,-0.207224
2.859837,-0.178800
2.875831,-0.151886
2.889357,-0.126286
2.900496,-0.101802
2.909316,-0.078232
2.915878,-0.055373
2.920226,-0.033021
2.922392,-0.010973
2.922392,0.010973
2.920226,0.033021
2.915878,0.055373
2.909316,0.078232
2.900496,0.101802
2.889357,0.126286
2.875831,0.151886
2.859837,0.178800
2.841290,0.207224
2.820104,0.237341
2.796199,0.269322
2.769505,0.303319
2.739975,0.339451
2.707592,0.377804
2.672379,0.418413
2.634416,0.461256
2.593843,0.506240
2.550873,0.553197
2.505795,0.601878
2.458974,0.651958
2.410841,0.703037
2.361878,0.754662
2.312603,0.806344
2.263539,0.857583
2.215193,0.907896
2.168031,0.956836
2.122457,1.004016
2.078805,1.049121
2.037330,1.091909
1.998206,1.132220
1.961538,1.169961
1.927364,1.205104
1.895671,1.237674
1.866401,1.267736
1.839467,1.295387
1.814756,1.320745
1.792143,1.343943
1.771495,1.365121
1.752673,1.384421
1.735542,1.401984
1.719969,1.417948
1.705826,1.432443
1.692994,1.445595
1.681358,1.457520
1.670812,1.468326
1.661260,1.478114
1.652611,1.486976
1.644782,1.494998
1.637697,1.502257
1.631287,1.508825
