R,T
1.582053,-1.553238
1.583249,-1.551372
1.584572,-1.549308
1.586036,-1.547024
1.587655,-1.544498
1.589446,-1.541704
1.591427,-1.538613
1.593619,-1.535194
1.596042,-1.531412
1.598723,-1.527228
1.601687,-1.522601
1.604966,-1.517484
1.608591,-1.511825
1.612599,-1.505566
1.617029,-1.498646
1.621926,-1.490994
1.627338,-1.482536
1.633316,-1.473186
1.639920,-1.462854
1.647210,-1.451439
1.655256,-1.438831
1.664130,-1.424910
1.673911,-1.409546
1.684683,-1.392598
1.696535,-1.373916
1.709560,-1.353337
1.723852,-1.330691
1.739508,-1.305796
1.756620,-1.278468
1.775276,-1.248517
1.795553,-1.215753
1.817508,-1.179996
1.841176,-1.141075
1.866554,-1.098844
1.893597,-1.053186
1.922200,-1.004029
1.952193,-0.951351
1.983327,-0.895192
2.015271,-0.835661
2.047605,-0.772936
2.079830,-0.707265
2.111375,-0.638951
2.141617,-0.568342
2.169908,-0.495808
2.195602,-0.421718
2.218081,-0.346421
2.236792,-0.270232
2.251261,-0.193418
2.261118,-0.116200
2.266111,-0.038757
2.266111,0.038757
2.261118,0.116200
2.251261,0.193418
2.236792,0.270232
2.218081,0.346421
2.195602,0.421718
2.169908,0.495808
2.141617,0.568342
2.111375,0.638951
2.079830,0.707265
2.047605,0.772936
2.015271,0.835661
1.983327,0.895192
1.952193,0.951351
1.922200,1.004029
1.893597,1.053186
1.866554,1.098844
1.841176,1.141075
1.817508,1.179996
1.795553,1.215753
1.775276,1.248517
1.756620,1.278468
1.739508,1.305796
1.723852,1.330691
1.709560,1.353337
1.696535,1.373916
1.684683,1.392598
1.673911,1.409546
1.664130,1.424910
1.655256,1.438831
1.647210,1.451439
1.639920,1.462854
1.633316,1.473186
1.627338,1.482536
1.621926,1.490994
1.617029,1.498646
1.612599,1.505566
1.608591,1.511825
1.604966,1.517484
1.601687,1.522601
1.598723,1.527228
1.596042,1.531412
1.593619,1.535194
1.591427,1.538613
1.589446,1.541704
1.587655,1.544498
1.586036,1.547024
1.584572,1.549308
1.583249,1.551372
1.582053,1.553238
