R,T
1.570689,-1.557320
1.570677,-1.555888
1.570665,-1.554303
1.570651,-1.552550
1.570635,-1.550611
1.570618,-1.548466
1.570599,-1.546093
1.570578,-1.543467
1.570555,-1.540563
1.570529,-1.537350
1.570501,-1.533796
1.570469,-1.529865
1.570435,-1.525515
1.570396,-1.520705
1.570354,-1.515383
1.570307,-1.509497
1.570255,-1.502986
1.570197,-1.495785
1.570134,-1.487821
1.570064,-1.479014
1.569986,-1.469274
1.569901,-1.458505
1.569806,-1.446599
1.569702,-1.433438
1.569587,-1.418892
1.569460,-1.402819
1.569320,-1.385062
1.569167,-1.365453
1.568998,-1.343805
1.568812,-1.319920
1.568609,-1.293579
1.568387,-1.264551
1.568145,-1.232589
1.567881,-1.197432
1.567596,-1.158810
1.567289,-1.116445
1.566960,-1.070056
1.566609,-1.019372
1.566240,-0.964137
1.565854,-0.904128
1.565457,-0.839166
1.565054,-0.769139
1.564653,-0.694023
1.564264,-0.613902
1.563897,-0.528989
1.563564,-0.439644
1.563279,-0.346383
1.563053,-0.249876
1.562895,-0.150934
1.562815,-0.050482
1.562815,0.050482
1.562895,0.150934
1.563053,0.249876
1.563279,0.346383
1.563564,0.439644
1.563897,0.528989
1.564264,0.613902
1.564653,0.694023
1.565054,0.769139
1.565457,0.839166
1.565854,0.904128
1.566240,0.964137
1.566609,1.019372
1.566960,1.070056
1.567289,1.116445
1.567596,1.158810
1.567881,1.197432
1.568145,1.232589
1.568387,1.264551
1.568609,1.293579
1.568812,1.319920
1.568998,1.343805
1.569167,1.365453
1.569320,1.385062
1.569460,1.402819
1.569587,1.418892
1.569702,1.433438
1.569806,1.446599
1.569901,1.458505
1.569986,1.469274
1.570064,1.479014
1.570134,1.487821
1.570197,1.495785
1.570255,1.502986
1.570307,1.509497
1.570354,1.515383
1.570396,1.520705
1.570435,1.525515
1.570469,1.529865
1.570501,1.533796
1.570529,1.537350
1.570555,1.540563
1.570578,1.543467
1.570599,1.546093
1.570618,1.548466
1.570635,1.550611
1.570651,1.552550
1.570665,1.554303
1.570677,1.555888
1.570689,1.557320
