R,T
-1.556777,1.566932
-1.555288,1.566521
-1.553639,1.566067
-1.551816,1.565564
-1.549799,1.565008
-1.547567,1.564393
-1.545098,1.563713
-1.542367,1.562960
-1.539346,1.562128
-1.536004,1.561207
-1.532307,1.560188
-1.528218,1.559062
-1.523694,1.557816
-1.518691,1.556438
-1.513156,1.554915
-1.507034,1.553230
-1.500264,1.551367
-1.492776,1.549308
-1.484495,1.547033
-1.475339,1.544518
-1.465215,1.541740
-1.454023,1.538673
-1.441651,1.535286
-1.427979,1.531549
-1.412873,1.527428
-1.396187,1.522887
-1.377762,1.517887
-1.357426,1.512388
-1.334992,1.506348
-1.310258,1.499723
-1.283009,1.492472
-1.253016,1.484553
-1.220038,1.475931
-1.183827,1.466574
-1.144128,1.456463
-1.100685,1.445594
-1.053251,1.433982
-1.001597,1.421669
-0.945518,1.408731
-0.884854,1.395285
-0.819500,1.381498
-0.749424,1.367586
-0.674683,1.353824
-0.595435,1.340537
-0.511954,1.328093
-0.424628,1.316887
-0.333964,1.307317
-0.240577,1.299757
-0.145174,1.294523
-0.048531,1.291845
0.048531,1.291845
0.145174,1.294523
0.240577,1.299757
0.333964,1.307317
0.424628,1.316887
0.511954,1.328093
0.595435,1.340537
0.674683,1.353824
0.749424,1.367586
0.819500,1.381498
0.884854,1.395285
0.945518,1.408731
1.001597,1.421669
1.053251,1.433982
1.100685,1.445594
1.144128,1.456463
1.183827,1.466574
1.220038,1.475931
1.253016,1.484553
1.283009,1.492472
1.310258,1.499723
1.334992,1.506348
1.357426,1.512388
1.377762,1.517887
1.396187,1.522887
1.412873,1.527428
1.427979,1.531549
1.441651,1.535286
1.454023,1.538673
1.465215,1.541740
1.475339,1.544518
1.484495,1.547033
1.492776,1.549308
1.500264,1.551367
1.507034,1.553230
1.513156,1.554915
1.518691,1.556438
1.523694,1.557816
1.528218,1.559062
1.532307,1.560188
1.536004,1.561207
1.539346,1.562128
1.542367,1.562960
1.545098,1.563713
1.547567,1.564393
1.549799,1.565008
1.551816,1.565564
1.553639,1.566067
1.555288,1.566521
1.556777,1.566932
