R,T
1.575717,-1.556450
1.576240,-1.554926
1.576818,-1.553239
1.577458,-1.551373
1.578166,-1.549309
1.578949,-1.547025
1.579815,-1.544499
1.580774,-1.541704
1.581834,-1.538613
1.583006,-1.535193
1.584303,-1.531410
1.585737,-1.527226
1.587323,-1.522597
1.589077,-1.517477
1.591017,-1.511814
1.593162,-1.505551
1.595533,-1.498624
1.598153,-1.490963
1.601050,-1.482492
1.604250,-1.473126
1.607786,-1.462770
1.611689,-1.451324
1.615998,-1.438673
1.620752,-1.424694
1.625994,-1.409251
1.631768,-1.392198
1.638124,-1.373373
1.645113,-1.352603
1.652786,-1.329699
1.661197,-1.304460
1.670398,-1.276671
1.680438,-1.246106
1.691361,-1.212530
1.703202,-1.175701
1.715981,-1.135373
1.729699,-1.091308
1.744329,-1.043277
1.759812,-0.991076
1.776043,-0.934533
1.792867,-0.873524
1.810071,-0.807987
1.827375,-0.737932
1.844436,-0.663462
1.860853,-0.584772
1.876175,-0.502163
1.889927,-0.416036
1.901636,-0.326886
1.910862,-0.235294
1.917237,-0.141908
1.920495,-0.047426
1.920495,0.047426
1.917237,0.141908
1.910862,0.235294
1.901636,0.326886
1.889927,0.416036
1.876175,0.502163
1.860853,0.584772
1.844436,0.663462
1.827375,0.737932
1.810071,0.807987
1.792867,0.873524
1.776043,0.934533
1.759812,0.991076
1.744329,1.043277
1.729699,1.091308
1.715981,1.135373
1.703202,1.175701
1.691361,1.212530
1.680438,1.246106
1.670398,1.276671
1.661197,1.304460
1.652786,1.329699
1.645113,1.352603
1.638124,1.373373
1.631768,1.392198
1.625994,1.409251
1.620752,1.424694
1.615998,1.438673
1.611689,1.451324
1.607786,1.462770
1.604250,1.473126
1.601050,1.482492
1.598153,1.490963
1.595533,1.498624
1.593162,1.505551
1.591017,1.511814
1.589077,1.517477
1.587323,1.522597
1.585737,1.527226
1.584303,1.531410
1.583006,1.535193
1.581834,1.538613
1.580774,1.541704
1.579815,1.544499
1.578949,1.547025
1.578166,1.549309
1.577458,1.551373
1.576818,1.553239
1.576240,1.554926
1.575717,1.556450
