R,T
1.513996,-1.512421
1.507975,-1.506232
1.501319,-1.499391
1.493963,-1.491831
1.485836,-1.483477
1.476858,-1.474248
1.466945,-1.464057
1.456002,-1.452808
1.443931,-1.440397
1.430621,-1.426712
1.415958,-1.411633
1.399817,-1.395033
1.382070,-1.376777
1.362583,-1.356727
1.341218,-1.334740
1.317839,-1.310673
1.292317,-1.284389
1.264530,-1.255759
1.234375,-1.224672
1.201775,-1.191041
1.166691,-1.154816
1.129127,-1.115990
1.089147,-1.074614
1.046884,-1.030806
1.002545,-0.984758
0.956415,-0.936738
0.908858,-0.887090
0.860307,-0.836225
0.811247,-0.784605
0.762195,-0.732722
0.713678,-0.681073
0.666203,-0.630134
0.620238,-0.580336
0.576191,-0.532049
0.534400,-0.485568
0.495126,-0.441106
0.458558,-0.398799
0.424813,-0.358707
0.393951,-0.320825
0.365982,-0.285092
0.340882,-0.251405
0.318598,-0.219625
0.299059,-0.189587
0.282189,-0.161109
0.267908,-0.133995
0.256139,-0.108042
0.246813,-0.083042
0.239872,-0.058785
0.235271,-0.035059
0.232979,-0.011651
0.232979,0.011651
0.235271,0.035059
0.239872,0.058785
0.246813,0.083042
0.256139,0.108042
0.267908,0.133995
0.282189,0.161109
0.299059,0.189587
0.318598,0.219625
0.340882,0.251405
0.365982,0.285092
0.393951,0.320825
0.424813,0.358707
0.458558,0.398799
0.495126,0.441106
0.534400,0.485568
0.576191,0.532049
0.620238,0.580336
0.666203,0.630134
0.713678,0.681073
0.762195,0.732722
0.811247,0.784605
0.860307,0.836225
0.908858,0.887090
0.956415,0.936738
1.002545,0.984758
1.046884,1.030806
1.089147,1.074614
1.129127,1.115990
1.166691,1.154816
1.201775,1.191041
1.234375,1.224672
1.264530,1.255759
1.292317,1.284389
1.317839,1.310673
1.341218,1.334740
1.362583,1.356727
1.382070,1.376777
1.399817,1.395033
1.415958,1.411633
1.430621,1.426712
1.443931,1.440397
1.456002,1.452808
1.466945,1.464057
1.476858,1.474248
1.485836,1.483477
1.493963,1.491831
1.501319,1.499391
1.507975,1.506232
1.513996,1.512421
