R,T
1.733238,-1.407801
1.750151,-1.390829
1.768741,-1.372175
1.789145,-1.351699
1.811502,-1.329262
1.835951,-1.304725
1.862623,-1.277956
1.891635,-1.248836
1.923087,-1.217264
1.957048,-1.183171
1.993548,-1.146526
2.032567,-1.107346
2.074023,-1.065711
2.117764,-1.021773
2.163562,-0.975756
2.211111,-0.927965
2.260029,-0.878779
2.309874,-0.828639
2.360155,-0.778030
2.410362,-0.727462
2.459984,-0.677439
2.508541,-0.628438
2.555601,-0.580888
2.600797,-0.535149
2.643839,-0.491507
2.684514,-0.450168
2.722684,-0.411264
2.758279,-0.374856
2.791288,-0.340948
2.821747,-0.309495
2.849728,-0.280414
2.875329,-0.253596
2.898667,-0.228912
2.919868,-0.206221
2.939064,-0.185377
2.956386,-0.166232
2.971962,-0.148640
2.985914,-0.132457
2.998357,-0.117546
3.009398,-0.103775
3.019133,-0.091020
3.027650,-0.079161
3.035029,-0.068087
3.041338,-0.057689
3.046637,-0.047868
3.050977,-0.038526
3.054399,-0.029570
3.056936,-0.020911
3.058615,-0.012463
3.059450,-0.004140
3.059450,0.004140
3.058615,0.012463
3.056936,0.020911
3.054399,0.029570
3.050977,0.038526
3.046637,0.047868
3.041338,0.057689
3.035029,0.068087
3.027650,0.079161
3.019133,0.091020
3.009398,0.103775
2.998357,0.117546
2.985914,0.132457
2.971962,0.148640
2.956386,0.166232
2.939064,0.185377
2.919868,0.206221
2.898667,0.228912
2.875329,0.253596
2.849728,0.280414
2.821747,0.309495
2.791288,0.340948
2.758279,0.374856
2.722684,0.411264
2.684514,0.450168
2.643839,0.491507
2.600797,0.535149
2.555601,0.580888
2.508541,0.628438
2.459984,0.677439
2.410362,0.727462
2.360155,0.778030
2.309874,0.828639
2.260029,0.878779
2.211111,0.927965
2.163562,0.975756
2.117764,1.021773
2.074023,1.065711
2.032567,1.107346
1.993548,1.146526
1.957048,1.183171
1.923087,1.217264
1.891635,1.248836
1.862623,1.277956
1.835951,1.304725
1.811502,1.329262
1.789145,1.351699
1.768741,1.372175
1.750151,1.390829
1.733238,1.407801
