R,T
1.559582,-1.553265
1.558391,-1.551402
1.557072,-1.549341
1.555614,-1.547061
1.554001,-1.544539
1.552217,-1.541749
1.550243,-1.538663
1.548060,-1.535249
1.545646,-1.531473
1.542975,-1.527296
1.540022,-1.522676
1.536756,-1.517566
1.533144,-1.511916
1.529152,-1.505667
1.524738,-1.498757
1.519859,-1.491117
1.514468,-1.482672
1.508511,-1.473336
1.501933,-1.463020
1.494670,-1.451622
1.486654,-1.439033
1.477813,-1.425132
1.468068,-1.409791
1.457336,-1.392869
1.445527,-1.374213
1.432550,-1.353664
1.418309,-1.331049
1.402709,-1.306188
1.385658,-1.278896
1.367066,-1.248982
1.346859,-1.216258
1.324978,-1.180541
1.301388,-1.141661
1.276091,-1.099471
1.249131,-1.053853
1.220612,-1.004731
1.190704,-0.952084
1.159652,-0.895948
1.127787,-0.836432
1.095527,-0.773711
1.063369,-0.708030
1.031884,-0.639693
1.001693,-0.569046
0.973443,-0.496457
0.947783,-0.422297
0.925328,-0.346916
0.906636,-0.270631
0.892180,-0.193711
0.882330,-0.116379
0.877340,-0.038817
0.877340,0.038817
0.882330,0.116379
0.892180,0.193711
0.906636,0.270631
0.925328,0.346916
0.947783,0.422297
0.973443,0.496457
1.001693,0.569046
1.031884,0.639693
1.063369,0.708030
1.095527,0.773711
1.127787,0.836432
1.159652,0.895948
1.190704,0.952084
1.220612,1.004731
1.249131,1.053853
1.276091,1.099471
1.301388,1.141661
1.324978,1.180541
1.346859,1.216258
1.367066,1.248982
1.385658,1.278896
1.402709,1.306188
1.418309,1.331049
1.432550,1.353664
1.445527,1.374213
1.457336,1.392869
1.468068,1.409791
1.477813,1.425132
1.486654,1.439033
1.494670,1.451622
1.501933,1.463020
1.508511,1.473336
1.514468,1.482672
1.519859,1.491117
1.524738,1.498757
1.529152,1.505667
1.533144,1.511916
1.536756,1.517566
1.540022,1.522676
1.542975,1.527296
1.545646,1.531473
1.548060,1.535249
1.550243,1.538663
1.552217,1.541749
1.554001,1.544539
1.555614,1.547061
1.557072,1.549341
1.558391,1.551402
1.559582,1.553265
